Title,Date,Ranking,Cover Art,Song Titles,Authors,Last Week Position,Peak Position,Weeks On Chart
Billboard Hot 100™,"August 24, 2024",43,https://charts-static.billboard.com/img/2024/07/glorilla-bn2-tgif-0z9-180x180.jpg,TGIF,GloRilla,50,28,8
Billboard Hot 100™,"August 24, 2024",44,https://charts-static.billboard.com/img/2024/05/mylessmith-000-stargazing-35e-180x180.jpg,Stargazing,Myles Smith,44,40,14
Billboard Hot 100™,"August 24, 2024",45,https://charts-static.billboard.com/img/2023/10/sabrina-carpenter-0lv-feather-vff-180x180.jpg,Feather,Sabrina Carpenter,43,21,37
Billboard Hot 100™,"August 24, 2024",46,https://charts-static.billboard.com/img/2024/05/charli-xcx-3qe-360-37u-180x180.jpg,360,Charli xcx,41,41,10
Billboard Hot 100™,"August 24, 2024",47,https://charts-static.billboard.com/img/2023/11/cody-johnson-dkq-dirtcheap-2qb-180x180.jpg,Dirt Cheap,Cody Johnson,51,43,17
Billboard Hot 100™,"August 24, 2024",48,https://charts-static.billboard.com/img/2023/11/teddyswims-vot-thedoor-ud5-180x180.jpg,The Door,Teddy Swims,56,48,11
Billboard Hot 100™,"August 24, 2024",49,https://charts-static.billboard.com/img/2024/04/taylor-swift-9sy-fortnight-2wg-180x180.jpg,Fortnight,Taylor Swift Featuring Post Malone,38,1,17
Billboard Hot 100™,"August 24, 2024",50,https://charts-static.billboard.com/img/2024/06/ellalangley-000-youlooklikeyouloveme-vtu-180x180.jpg,You Look Like You Love Me,Ella Langley Featuring Riley Green,49,36,8
Billboard Hot 100™,"August 24, 2024",51,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,Apple,Charli xcx,52,51,4
Billboard Hot 100™,"August 24, 2024",52,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,Wildflower,Billie Eilish,55,17,13
Billboard Hot 100™,"August 24, 2024",53,https://charts-static.billboard.com/img/2017/03/moneybagg-yo-1uf-180x180.jpg,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,53,21,9
Billboard Hot 100™,"August 24, 2024",54,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,Lunch,Billie Eilish,39,5,13
Billboard Hot 100™,"August 24, 2024",55,https://charts-static.billboard.com/img/2024/03/floyymenor-000-gataonly-nrj-180x180.jpg,Gata Only,FloyyMenor X Cris Mj,54,27,22
Billboard Hot 100™,"August 24, 2024",56,https://charts-static.billboard.com/img/2024/05/gunna-czg-oneofwun-2zg-180x180.jpg,One Of Wun,Gunna,57,26,14
Billboard Hot 100™,"August 24, 2024",57,https://charts-static.billboard.com/img/2024/06/centralcee-v14-band4band-1xj-180x180.jpg,BAND4BAND,Central Cee & Lil Baby,58,18,12
Billboard Hot 100™,"August 24, 2024",58,https://charts-static.billboard.com/img/2020/02/the-kid-laroi-qev-180x180.jpg,Nights Like This,The Kid LAROI,60,47,8
Billboard Hot 100™,"August 24, 2024",59,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-casual-xmi-180x180.jpg,Casual,Chappell Roan,62,59,8
Billboard Hot 100™,"August 24, 2024",60,https://charts-static.billboard.com/img/2024/08/mgk-ohm-lonelyroad-4g6-180x180.jpg,Lonely Road,mgk & Jelly Roll,59,33,3
Billboard Hot 100™,"August 24, 2024",61,https://charts-static.billboard.com/img/2023/12/dustin-lynch-xmu-chevrolet-z02-180x180.jpg,Chevrolet,Dustin Lynch Featuring Jelly Roll,64,61,9
